text,sentiment,negative_reason
"b'@robreiner so afraid of Nov, Dec, and Jan! Even if #BidenHarris2020 win...frump has 3 months to do even more damage than he has.'",0,covid19
"b""RT @SueC00K: Lord Sumption launches Recovery - a new initiative to promote #AnotherWay to deal with #Covid. Hysteria and rushed laws",0,others
"b'RT @WalidPhares: Uber Timing: after #Biden advisors said they would put pressure on #Brazil &amp; sanction @jairbolsonaro Gov ""when"" elected,",0,covid19
b'Every 107 seconds an American is dying from the #TrumpVirus \n\n#DonaldTrump thinks that is a success.\n\n#JoeBiden https://t.co/BlJRIl6VpN',1,
b'RT @thewebbix: The #Democrats embrace #DiversityandInclusion for all citizens that make our nation what it is. Each of us must #Vote to,1,
accelerating. &amp; rising when all #Americans killed by #TrumpVirus are https://t.co/QtpgvKI2vp',0,discrimination
b'@realDonaldTrump 961 dead Americans in one day! 240 times the number who died after Benghazi. The right lost https://t.co/ES4zk2Mm68',0,discrimination
b'#COVID19 #coronavirus #coronavirusuk #COVID #UKlockdown \nIf there is a National Lockdown Next Week \nShould We https://t.co/A7h6gAD2cz',1,
b'@charliekirk11 only reason @realdonaldtrump is doing more than 3 rallies is because he knows he is losing https://t.co/viWWFOCE4w',0,corruption
"b""RT @JoeBarri: Anyone who's concerned in the least about #HunterBiden is a Trump ass-kisser &amp; human fraud. WTF about the CURRENT",0,covid19
b'#BreakingNews #October #CatsOfTwitter #dogsoftwitter wake the fuck up its go time #BidenHarris2020 https://t.co/PdYthhFium',0,corruption
b'@realDonaldTrump Is why ur campaign paid people off and rig and mess up Postal mail https://t.co/uajjwPeT5a',0,crime
"b'Tuesday night, I refuse to watch any TV hype. Just build me a big ass fire, open a bottle of wine and hope I https://t.co/qUFurh2AE4'",0,crime
"b'@realDonaldTrump If you #MAGA think this is disgusting, then YOU should go back to Sunday School.'",0,discrimination
b'RT @BettinaSRoss1: German doctors are sending this around on Twitter.\n#coronavirus #Covid_19 https://t.co/1npMYrHeZi',1,
"b""Watch what happened at 4:57 in @DetHippieChick's broadcast: Hippie Chicks chat hour #Biden2020\n\nhttps://t.co/xf5XqF43iI""",1,
